"RIX","alias","ID","day","isotype","virus","antigen","last_positive"
"CC002xCC021","X15156x1566","107","D7","IgG2ac","SARS","N",0
"CC002xCC021","X15156x1566","107","D7","IgG2ac","SARS","N",0
"CC002xCC021","X15156x1566","107","D7","IgG2ac","SARS","S",5
"CC002xCC021","X15156x1566","107","D7","IgG2ac","SARS","S",3
"CC002xCC021","X15156x1566","273","D7","IgG2ac","SARS","N",0
"CC002xCC021","X15156x1566","273","D7","IgG2ac","SARS","N",0
"CC002xCC021","X15156x1566","273","D7","IgG2ac","SARS","S",8
"CC002xCC021","X15156x1566","273","D7","IgG2ac","SARS","S",5
"CC002xCC021","X15156x1566","287","D7","IgG2ac","SARS","N",0
"CC002xCC021","X15156x1566","287","D7","IgG2ac","SARS","N",0
"CC002xCC021","X15156x1566","287","D7","IgG2ac","SARS","S",6
"CC002xCC021","X15156x1566","287","D7","IgG2ac","SARS","S",8
"CC002xCC021","X15156x1566","288","D7","IgG2ac","SARS","N",0
"CC002xCC021","X15156x1566","288","D7","IgG2ac","SARS","N",0
"CC002xCC021","X15156x1566","288","D7","IgG2ac","SARS","S",6
"CC002xCC021","X15156x1566","288","D7","IgG2ac","SARS","S",4
"CC002xCC021","X15156x1566","98","D7","IgG2ac","SARS","N",0
"CC002xCC021","X15156x1566","98","D7","IgG2ac","SARS","N",0
"CC002xCC021","X15156x1566","98","D7","IgG2ac","SARS","S",5
"CC002xCC021","X15156x1566","98","D7","IgG2ac","SARS","S",3
"CC011xCC032","X3252x8002","28","D10","TotalG","SARS","N",0
"CC011xCC032","X3252x8002","28","D10","TotalG","SARS","N",0
"CC011xCC032","X3252x8002","29","D10","TotalG","SARS","N",0
"CC011xCC032","X3252x8002","29","D10","TotalG","SARS","N",0
"CC011xCC032","X3252x8002","70","D10","TotalG","SARS","N",0
"CC011xCC032","X3252x8002","70","D10","TotalG","SARS","N",0
"CC011xCC032","X3252x8002","26","D15","TotalG","SARS","N",3
"CC011xCC032","X3252x8002","26","D15","TotalG","SARS","N",2
"CC011xCC032","X3252x8002","30","D15","TotalG","SARS","N",3
"CC011xCC032","X3252x8002","30","D15","TotalG","SARS","N",1
"CC011xCC032","X3252x8002","36","D29","TotalG","SARS","N",4
"CC011xCC032","X3252x8002","36","D29","TotalG","SARS","N",3
"CC011xCC032","X3252x8002","37","D29","TotalG","SARS","N",3
"CC011xCC032","X3252x8002","37","D29","TotalG","SARS","N",1
"CC011xCC032","X3252x8002","60","D29","TotalG","SARS","N",4
"CC011xCC032","X3252x8002","60","D29","TotalG","SARS","N",3
"CC011xCC032","X3252x8002","61","D29","TotalG","SARS","N",0
"CC011xCC032","X3252x8002","61","D29","TotalG","SARS","N",5
"CC040xCC015","X16557x3154","60","D15","IgG2ac","SARS","N",3
"CC040xCC015","X16557x3154","60","D15","IgG2ac","SARS","N",5
"CC040xCC015","X16557x3154","60","D15","IgG2ac","SARS","S",8
"CC040xCC015","X16557x3154","60","D15","IgG2ac","SARS","S",6
"CC040xCC015","X16557x3154","64","D15","IgG2ac","SARS","N",3
"CC040xCC015","X16557x3154","64","D15","IgG2ac","SARS","N",5
"CC040xCC015","X16557x3154","64","D15","IgG2ac","SARS","S",6
"CC040xCC015","X16557x3154","64","D15","IgG2ac","SARS","S",8
"CC040xCC015","X16557x3154","34","D29","IgG2ac","SARS","N",3
"CC040xCC015","X16557x3154","34","D29","IgG2ac","SARS","N",5
"CC040xCC015","X16557x3154","34","D29","IgG2ac","SARS","S",6
"CC040xCC015","X16557x3154","34","D29","IgG2ac","SARS","S",8
"CC040xCC015","X16557x3154","40","D29","IgG2ac","SARS","N",5
"CC040xCC015","X16557x3154","40","D29","IgG2ac","SARS","N",3
"CC040xCC015","X16557x3154","40","D29","IgG2ac","SARS","S",9
"CC040xCC015","X16557x3154","40","D29","IgG2ac","SARS","S",7
"CC040xCC015","X16557x3154","44","D29","IgG2ac","SARS","N",5
"CC040xCC015","X16557x3154","44","D29","IgG2ac","SARS","N",3
"CC040xCC015","X16557x3154","44","D29","IgG2ac","SARS","S",8
"CC040xCC015","X16557x3154","44","D29","IgG2ac","SARS","S",6
"CC040xCC015","X16557x3154","89","DRECHAL","IgG2ac","SARS","N",6
"CC040xCC015","X16557x3154","89","DRECHAL","IgG2ac","SARS","N",4
"CC040xCC015","X16557x3154","89","DRECHAL","IgG2ac","SARS","S",9
"CC040xCC015","X16557x3154","89","DRECHAL","IgG2ac","SARS","S",7
"CC040xCC015","X16557x3154","92","DRECHAL","IgG2ac","SARS","N",5
"CC040xCC015","X16557x3154","92","DRECHAL","IgG2ac","SARS","N",3
"CC040xCC015","X16557x3154","92","DRECHAL","IgG2ac","SARS","S",9
"CC040xCC015","X16557x3154","92","DRECHAL","IgG2ac","SARS","S",7
"CC040xCC015","X16557x3154","93","DRECHAL","IgG2ac","SARS","N",6
"CC040xCC015","X16557x3154","93","DRECHAL","IgG2ac","SARS","N",4
"CC040xCC015","X16557x3154","93","DRECHAL","IgG2ac","SARS","S",9
"CC040xCC015","X16557x3154","93","DRECHAL","IgG2ac","SARS","S",7
"CC051xCC009","X16912x5489","108","D29","TotalG","SARS","N",7
"CC051xCC009","X16912x5489","108","D29","TotalG","SARS","N",6
"CC051xCC009","X16912x5489","108","D29","TotalG","SARS","S",4
"CC051xCC009","X16912x5489","108","D29","TotalG","SARS","S",9
"CC051xCC009","X16912x5489","109","D29","TotalG","SARS","N",6
"CC051xCC009","X16912x5489","109","D29","TotalG","SARS","N",5
"CC051xCC009","X16912x5489","109","D29","TotalG","SARS","S",0
"CC051xCC009","X16912x5489","109","D29","TotalG","SARS","S",9
"CC059xCC065","X16012x5119","10","D7","IgG2ac","SARS","N",1
"CC059xCC065","X16012x5119","10","D7","IgG2ac","SARS","N",3
"CC059xCC065","X16012x5119","10","D7","IgG2ac","SARS","S",0
"CC059xCC065","X16012x5119","10","D7","IgG2ac","SARS","S",0
"CC059xCC065","X16012x5119","11","D7","IgG2ac","SARS","N",0
"CC059xCC065","X16012x5119","11","D7","IgG2ac","SARS","N",0
"CC059xCC065","X16012x5119","11","D7","IgG2ac","SARS","S",3
"CC059xCC065","X16012x5119","11","D7","IgG2ac","SARS","S",1
"CC059xCC065","X16012x5119","21","D7","IgG2ac","SARS","N",0
"CC059xCC065","X16012x5119","21","D7","IgG2ac","SARS","N",0
"CC059xCC065","X16012x5119","21","D7","IgG2ac","SARS","S",4
"CC059xCC065","X16012x5119","21","D7","IgG2ac","SARS","S",2
