"RIX","alias","ID","day","virus","antigen","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC001xCC074","X13140x3015","112","D7","SARS","S",0,0,0,0,2.47712125471966,2
"CC001xCC074","X13140x3015","118","D7","SARS","S",0,3.47712125471966,2.47712125471966,0,4,4
"CC001xCC074","X13140x3015","124","D7","SARS","S",0,3.47712125471966,2.47712125471966,0,4,4
"CC002xCC011","X15156x3252","116","D7","SARS","S",0,4,3,2.47712125471966,4.47712125471966,5
"CC002xCC011","X15156x3252","117","D7","SARS","S",0,3.47712125471966,3,2.47712125471966,4,4.47712125471966
"CC002xCC011","X15156x3252","132","D7","SARS","S",0,3.47712125471966,3,2.47712125471966,4,4
"CC002xCC021","X15156x1566","107","D7","SARS","S",0,3,2,0,3,3.47712125471966
"CC002xCC021","X15156x1566","273","D7","SARS","S",0,4,3,2,4,4.47712125471966
"CC002xCC021","X15156x1566","287","D7","SARS","S",0,4.47712125471966,2.47712125471966,2,3.47712125471966,4
"CC002xCC021","X15156x1566","288","D7","SARS","S",0,3.47712125471966,2.47712125471966,2,3.47712125471966,3.47712125471966
"CC002xCC021","X15156x1566","98","D7","SARS","S",0,3,2.47712125471966,4,3,3.47712125471966
"CC003xCC051","X13067x16912","28","D7","SARS","S",2,3,3,2,4,3.47712125471966
"CC003xCC051","X13067x16912","40","D7","SARS","S",0,3,2,2,3.47712125471966,3
"CC003xCC051","X13067x16912","41","D7","SARS","S",0,2.47712125471966,2.47712125471966,0,3.47712125471966,3
"CC005xCC001","X16211x13140","132","D7","SARS","S",0,2.47712125471966,2,0,4,3.47712125471966
"CC005xCC001","X16211x13140","133","D7","SARS","S",0,3,2.47712125471966,0,3.47712125471966,3.47712125471966
"CC005xCC001","X16211x13140","134","D7","SARS","S",2,3.47712125471966,2.47712125471966,0,4.47712125471966,4
"CC005xCC038","X16211x8049","102","D7","SARS","S",0,4,3.47712125471966,2,4.47712125471966,5
"CC005xCC038","X16211x8049","103","D7","SARS","S",0,3,2.47712125471966,0,3.47712125471966,5
"CC005xCC038","X16211x8049","95","D7","SARS","S",2,4,3,0,4.47712125471966,4.47712125471966
"CC005xCC040","X16211x16557","66","D7","SARS","S",NA,3.47712125471966,3,2.47712125471966,4,4
"CC005xCC040","X16211x16557","67","D7","SARS","S",NA,4,3,0,3.47712125471966,4
"CC005xCC040","X16211x16557","75","D7","SARS","S",NA,3.47712125471966,3,0,3.47712125471966,3.47712125471966
"CC005xCC040","X16211x16557","79","D7","SARS","S",NA,3,2.47712125471966,0,3,3.47712125471966
"CC006xCC007","X16750x13421","77","D7","SARS","S",2,3.47712125471966,3,2.47712125471966,4,4
"CC006xCC007","X16750x13421","78","D7","SARS","S",2.47712125471966,3,3,2.47712125471966,4,4
"CC006xCC007","X16750x13421","79","D7","SARS","S",0,3.47712125471966,2.47712125471966,2,4.47712125471966,4
"CC006xCC007","X16750x13421","80","D7","SARS","S",2,3.47712125471966,2.47712125471966,2,4,4
"CC006xCC039","X16750x15155","53","D7","SARS","S",0,4,3.47712125471966,3,3.47712125471966,4.47712125471966
"CC006xCC039","X16750x15155","62","D7","SARS","S",0,4,3.47712125471966,2,3.47712125471966,4.47712125471966
"CC006xCC039","X16750x15155","64","D7","SARS","S",0,4,3.47712125471966,2.47712125471966,3.47712125471966,4.47712125471966
"CC006xCC039","X16750x15155","65","D7","SARS","S",0,4,3.47712125471966,2,3.47712125471966,4.47712125471966
"CC007xCC075","X13421x3260","22","D7","SARS","S",2,4.47712125471966,3.47712125471966,2.47712125471966,5,5
"CC007xCC075","X13421x3260","23","D7","SARS","S",0,4.47712125471966,3.47712125471966,3,4.47712125471966,5
"CC007xCC075","X13421x3260","24","D7","SARS","S",0,5,3.47712125471966,3,5,5
"CC008xCC009","X8036x5489","73","D7","SARS","S",0,2,2,0,2,2.47712125471966
"CC008xCC009","X8036x5489","74","D7","SARS","S",0,2,2,0,2,2.47712125471966
"CC008xCC009","X8036x5489","76","D7","SARS","S",0,0,2,0,2.47712125471966,2.47712125471966
"CC008xCC010","X8036x8018","23","D7","SARS","S",0,4,2,0,3,3.47712125471966
"CC008xCC010","X8036x8018","24","D7","SARS","S",0,3,0,0,3,3
"CC008xCC010","X8036x8018","25","D7","SARS","S",0,3,0,0,3,2.47712125471966
"CC008xCC010","X8036x8018","26","D7","SARS","S",0,3,0,0,3.47712125471966,3
"CC008xCC018","X8036x3609","26","D7","SARS","S",0,2.47712125471966,0,0,3,2.47712125471966
"CC008xCC018","X8036x3609","27","D7","SARS","S",0,3,0,0,3,3
"CC008xCC018","X8036x3609","28","D7","SARS","S",0,2.47712125471966,0,0,3,2.47712125471966
"CC008xCC018","X8036x3609","33","D7","SARS","S",0,3,0,0,3,3
"CC009xCC040","X5489x16557","91","D7","SARS","S",2.47712125471966,5,4,3,5,5
"CC009xCC040","X5489x16557","92","D7","SARS","S",0,5.47712125471966,3.47712125471966,2.47712125471966,4.47712125471966,5.47712125471966
"CC009xCC040","X5489x16557","93","D7","SARS","S",0,5.47712125471966,3.47712125471966,2.47712125471966,5.47712125471966,5.47712125471966
"CC010xCC015","X8018x3154","13","D7","SARS","S",0,2,0,2,2.47712125471966,2.47712125471966
"CC010xCC015","X8018x3154","14","D7","SARS","S",0,2,0,2,2,2.47712125471966
"CC010xCC015","X8018x3154","21","D7","SARS","S",0,0,0,0,2,2
"CC010xCC060","X8018x3460","69","D7","SARS","S",0,4,4,2.47712125471966,3.47712125471966,4.47712125471966
"CC010xCC060","X8018x3460","70","D7","SARS","S",0,4,4,3,4,4.47712125471966
"CC010xCC060","X8018x3460","71","D7","SARS","S",0,4,4,2.47712125471966,4,4.47712125471966
"CC010xCC060","X8018x3460","74","D7","SARS","S",0,3.47712125471966,3.47712125471966,0,3.47712125471966,4
"CC011xCC032","X3252x8002","80","D7","SARS","S",0,3.47712125471966,3,2,3,4
"CC011xCC032","X3252x8002","81","D7","SARS","S",0,3.47712125471966,2.47712125471966,2,3,4
"CC011xCC032","X3252x8002","82","D7","SARS","S",0,2.47712125471966,0,0,2,2.47712125471966
"CC011xCC042","X3252x18042","28","D7","SARS","S",2,2.47712125471966,2,0,3.47712125471966,3
"CC011xCC042","X3252x18042","29","D7","SARS","S",0,3,2.47712125471966,0,3.47712125471966,3.47712125471966
"CC011xCC042","X3252x18042","31","D7","SARS","S",0,3,2.47712125471966,0,3.47712125471966,3
"CC012xCC038","X8005x8049","15","D7","SARS","S",0,2.47712125471966,2,0,3,3
"CC012xCC038","X8005x8049","5","D7","SARS","S",0,3,2,2,3.47712125471966,3.47712125471966
"CC012xCC038","X8005x8049","6","D7","SARS","S",0,3,2.47712125471966,2,3,3.47712125471966
"CC015xCC018","X3154x3609","16","D7","SARS","S",0,3.47712125471966,2.47712125471966,2.47712125471966,4,4
"CC015xCC018","X3154x3609","19","D7","SARS","S",0,3.47712125471966,2.47712125471966,0,4,4
"CC015xCC018","X3154x3609","9","D7","SARS","S",0,3.47712125471966,2.47712125471966,0,4,4
"CC015xCC059","X3154x16012","16","D7","SARS","S",0,3.47712125471966,2.47712125471966,2,3.47712125471966,4
"CC015xCC059","X3154x16012","23","D7","SARS","S",0,3.47712125471966,2.47712125471966,2.47712125471966,3.47712125471966,4
"CC015xCC059","X3154x16012","24","D7","SARS","S",0,3.47712125471966,2.47712125471966,0,3.47712125471966,4
"CC016xCC038","X8024x8049","13","D7","SARS","S",2,3.47712125471966,2.47712125471966,0,4,4
"CC016xCC038","X8024x8049","14","D7","SARS","S",0,2.47712125471966,0,0,3.47712125471966,3
"CC016xCC038","X8024x8049","15","D7","SARS","S",0,2.47712125471966,2,0,3.47712125471966,3.47712125471966
"CC016xCC061","X8024x8048","30","D7","SARS","S",0,2,2,0,3,3
"CC016xCC061","X8024x8048","31","D7","SARS","S",0,2.47712125471966,2,0,3,3
"CC016xCC061","X8024x8048","36","D7","SARS","S",0,2.47712125471966,3,0,3.47712125471966,3.47712125471966
"CC017xCC004","X3032x16188","107","D7","SARS","S",0,4,2.47712125471966,2.47712125471966,4,3.47712125471966
"CC017xCC004","X3032x16188","108","D7","SARS","S",0,3.47712125471966,2.47712125471966,2,3.47712125471966,3.47712125471966
"CC017xCC004","X3032x16188","114","D7","SARS","S",0,3.47712125471966,3,2,3.47712125471966,4
"CC018xCC009","X3609x5489","105","D7","SARS","S",2,3.47712125471966,2.47712125471966,0,3.47712125471966,2.47712125471966
"CC018xCC009","X3609x5489","106","D7","SARS","S",2,4,2.47712125471966,2,4,3.47712125471966
"CC018xCC009","X3609x5489","107","D7","SARS","S",0,3,2.47712125471966,0,3.47712125471966,3.47712125471966
"CC018xCC065","X3609x5119","123","D7","SARS","S",0,3.47712125471966,3,0,2.47712125471966,4
"CC018xCC065","X3609x5119","124","D7","SARS","S",0,3.47712125471966,2.47712125471966,2,2.47712125471966,4
"CC018xCC065","X3609x5119","125","D7","SARS","S",0,4,2.47712125471966,0,2.47712125471966,4.47712125471966
"CC019xCC002","X16513x15156","53","D7","SARS","S",0,3,2.47712125471966,0,4,4
"CC019xCC002","X16513x15156","56","D7","SARS","S",0,3,2,0,3,3
"CC019xCC004","X16513x16188","74","D7","SARS","S",0,4,3,2,4,4.47712125471966
"CC019xCC004","X16513x16188","75","D7","SARS","S",0,4,3,2,4,4
"CC019xCC004","X16513x16188","76","D7","SARS","S",0,4,3,0,3.47712125471966,4
"CC019xCC027","X16513x8027","63","D7","SARS","S",0,4,3.47712125471966,2.47712125471966,4.47712125471966,5.47712125471966
"CC019xCC027","X16513x8027","64","D7","SARS","S",0,4,3,2,4.47712125471966,4.47712125471966
"CC019xCC027","X16513x8027","76","D7","SARS","S",0,4.47712125471966,3.47712125471966,2.47712125471966,4.47712125471966,5
"CC020xCC008","X8054x8036","3","D7","SARS","S",0,3.47712125471966,3,2,4,4
"CC020xCC008","X8054x8036","6","D7","SARS","S",0,3.47712125471966,3,0,3.47712125471966,4
"CC020xCC008","X8054x8036","7","D7","SARS","S",0,4,3,2,4.47712125471966,4.47712125471966
"CC021xCC023","X1566x8043","45","D7","SARS","S",2,3.47712125471966,2,0,3.47712125471966,5.47712125471966
"CC021xCC023","X1566x8043","46","D7","SARS","S",2,3,2,0,3.47712125471966,5
"CC021xCC023","X1566x8043","47","D7","SARS","S",2,2.47712125471966,2,0,3.47712125471966,4
"CC022xCC024","X8046x8004","41","D7","SARS","S",0,3.47712125471966,2.47712125471966,2,3.47712125471966,3.47712125471966
"CC022xCC024","X8046x8004","42","D7","SARS","S",0,3,2.47712125471966,2.47712125471966,3.47712125471966,3.47712125471966
"CC022xCC024","X8046x8004","47","D7","SARS","S",0,3,2.47712125471966,2,3.47712125471966,3.47712125471966
"CC022xCC033","X8046x8033","6","D7","SARS","S",NA,NA,NA,NA,NA,5
"CC022xCC044","X8046x4410","87","D7","SARS","S",0,3.47712125471966,3,2,3.47712125471966,3.47712125471966
"CC022xCC044","X8046x4410","89","D7","SARS","S",0,3,3,0,3,3.47712125471966
"CC022xCC044","X8046x4410","90","D7","SARS","S",0,3.47712125471966,3.47712125471966,0,3.47712125471966,4
"CC022xCC044","X8046x4410","91","D7","SARS","S",0,3,3,0,3,3.47712125471966
"CC024xCC052","X8004x8052","32","D7","SARS","S",0,4,3.47712125471966,2.47712125471966,4,4.47712125471966
"CC024xCC052","X8004x8052","33","D7","SARS","S",0,4,3.47712125471966,2,4,4.47712125471966
"CC024xCC052","X8004x8052","37","D7","SARS","S",0,4,4,2.47712125471966,4,4.47712125471966
"CC025xCC028","X8008x8016","37","D7","SARS","S",0,4.47712125471966,3.47712125471966,2,5.47712125471966,4.47712125471966
"CC025xCC028","X8008x8016","53","D7","SARS","S",0,4.47712125471966,3,3,4,4.47712125471966
"CC025xCC028","X8008x8016","54","D7","SARS","S",0,4,3,2,3.47712125471966,4
"CC026xCC034","X8026x5080","84","D7","SARS","S",0,3,2,2,3.47712125471966,4.47712125471966
"CC026xCC034","X8026x5080","86","D7","SARS","S",0,3,2.47712125471966,0,3.47712125471966,5
"CC026xCC034","X8026x5080","87","D7","SARS","S",0,3.47712125471966,2.47712125471966,2.47712125471966,3.47712125471966,4.47712125471966
"CC027xCC036","X8027x477","85","D7","SARS","S",0,3.47712125471966,3,0,2,3.47712125471966
"CC027xCC036","X8027x477","86","D7","SARS","S",0,3.47712125471966,3,0,0,3.47712125471966
"CC027xCC036","X8027x477","93","D7","SARS","S",0,3,2.47712125471966,0,2.47712125471966,3.47712125471966
"CC027xCC045","X8027x8045","44","D7","SARS","S",0,4,2.47712125471966,2.47712125471966,3.47712125471966,4.47712125471966
"CC027xCC045","X8027x8045","53","D7","SARS","S",0,2,0,0,2.47712125471966,3
"CC027xCC045","X8027x8045","54","D7","SARS","S",0,2.47712125471966,2,0,3,3.47712125471966
"CC027xCC045","X8027x8045","57","D7","SARS","S",0,3,2,2.47712125471966,3.47712125471966,4
"CC028xCC024","X8016x8004","74","D7","SARS","S",0,3.47712125471966,3.47712125471966,3,4,4.47712125471966
"CC028xCC024","X8016x8004","75","D7","SARS","S",0,3.47712125471966,3,2,3.47712125471966,4
"CC028xCC024","X8016x8004","76","D7","SARS","S",0,3.47712125471966,3,2,3.47712125471966,4
"CC028xCC024","X8016x8004","81","D7","SARS","S",0,3.47712125471966,3.47712125471966,2,3.47712125471966,4
"CC028xCC030","X8016x8034","185","D7","SARS","S",0,4,3,2,4.47712125471966,4.47712125471966
"CC028xCC030","X8016x8034","186","D7","SARS","S",0,4,3,2,3,4.47712125471966
"CC028xCC030","X8016x8034","189","D7","SARS","S",0,3.47712125471966,2.47712125471966,0,3,4
"CC029xCC027","X3564x8027","115","D7","SARS","S",0,3.47712125471966,2.47712125471966,2,0,4
"CC029xCC027","X3564x8027","124","D7","SARS","S",0,3.47712125471966,2.47712125471966,0,0,4
"CC029xCC027","X3564x8027","127","D7","SARS","S",0,3,2.47712125471966,0,0,4
"CC029xCC071","X3564x16785","31","D7","SARS","S",2,4,3.47712125471966,2.47712125471966,4,5.47712125471966
"CC029xCC071","X3564x16785","32","D7","SARS","S",2,4,3.47712125471966,2.47712125471966,4.47712125471966,5.47712125471966
