"RIX","ID","RIX_ID","Cohort","Treatment","Day","lowest.day","lowest.weight"
"CC003xCC051","162","13067x16912_162","1_14i","Influenza",10,8,94.0506329113924
"CC003xCC051","163","13067x16912_163","1_14i","Influenza",10,2,96.3274336283186
"CC003xCC051","164","13067x16912_164","1_14i","Influenza",10,2,98.0334728033473
"CC003xCC051","36","13067x16912_36","8_13viii","Influenza",15,8,94.1888619854722
"CC003xCC051","37","13067x16912_37","8_13viii","Influenza",15,3,95.2380952380952
"CC003xCC051","136","13067x16912_136","11_13xi","Influenza",45,1,100.710900473934
"CC003xCC051","137","13067x16912_137","11_13xi","Influenza",45,12,98.1770833333333
"CC003xCC051","138","13067x16912_138","11_13xi","Influenza",45,7,84.703196347032
"CC003xCC051","139","13067x16912_139","11_13xi","Influenza",45,9,69.392523364486
"CC003xCC062","24","13067x5306_24","1_15i","Influenza",15,12,98.0769230769231
"CC003xCC062","29","13067x5306_29","1_15i","Influenza",15,8,93.5622317596567
"CC003xCC062","34","13067x5306_34","1_15i","Influenza",15,15,90.9722222222222
"CC003xCC062","35","13067x5306_35","1_15i","Influenza",15,12,92.7927927927928
"CC003xCC062","76","13067x5306_76","2_15ii","Influenza",45,5,80.6282722513089
"CC003xCC062","77","13067x5306_77","2_15ii","Influenza",45,6,91.6230366492147
"CC003xCC062","78","13067x5306_78","2_15ii","Influenza",45,7,84.9056603773585
"CC003xCC062","79","13067x5306_79","2_15ii","Influenza",45,4,89.4472361809045
"CC003xCC062","80","13067x5306_80","2_15ii","Influenza",45,4,88.9447236180905
"CC003xCC062","87","13067x5306_87","2_15ii","Influenza",45,5,94.9771689497717
"CC003xCC062","88","13067x5306_88","2_15ii","Influenza",45,15,92.6940639269407
"CC003xCC062","91","13067x5306_91","2_15ii","Influenza",45,1,96.3636363636364
"CC001xCC055","42","13140x16680_42","7_14vii","Influenza",10,9,74.2633794347565
"CC001xCC055","43","13140x16680_43","7_14vii","Influenza",10,10,75.1476113794954
"CC001xCC055","47","13140x16680_47","7_14vii","Influenza",10,10,80.9895833333333
"CC001xCC055","104","13140x16680_104","8_14viii","Influenza",15,4,89.0666666666667
"CC001xCC055","105","13140x16680_105","8_14viii","Influenza",15,8,91.7241379310345
"CC001xCC055","108","13140x16680_108","8_14viii","Influenza",15,8,89.6236559139785
"CC001xCC055","109","13140x16680_109","8_14viii","Influenza",15,8,85.2121212121212
"CC001xCC055","150","13140x16680_150","9_14ix","Influenza",45,13,88.2494004796163
"CC001xCC055","151","13140x16680_151","9_14ix","Influenza",45,7,73.0310262529833
"CC001xCC055","152","13140x16680_152","9_14ix","Influenza",45,7,70.7035175879397
"CC001xCC074","163","13140x3015_163","3_13iii","Influenza",10,7,83.2041343669251
"CC001xCC074","179","13140x3015_179","3_13iii","Influenza",10,7,89.4472361809045
"CC001xCC074","180","13140x3015_180","3_13iii","Influenza",10,5,85.0253807106599
"CC001xCC074","96","13140x3015_96","3_13iii","Influenza",15,7,93.9866369710468
"CC001xCC074","102","13140x3015_102","3_13iii","Influenza",15,5,80.2997858672377
"CC001xCC074","131","13140x3015_131","3_13iii","Influenza",15,10,94.6004319654428
"CC001xCC074","145","13140x3015_145","3_13iii","Influenza",45,4,84.375
"CC001xCC074","148","13140x3015_148","3_13iii","Influenza",45,4,92.6892950391645
"CC001xCC074","149","13140x3015_149","3_13iii","Influenza",45,4,94.3478260869565
"CC007xCC070","7","13421x16034_7","5_15v","Influenza",10,5,85.4406130268199
"CC007xCC070","11","13421x16034_11","5_15v","Influenza",10,4,90
"CC007xCC070","17","13421x16034_17","5_15v","Influenza",10,8,71.4932126696833
"CC007xCC070","64","13421x16034_64","7_15vii","Influenza",15,4,95.7528957528958
"CC007xCC070","67","13421x16034_67","7_15vii","Influenza",15,4,94.7368421052632
"CC007xCC070","72","13421x16034_72","7_15vii","Influenza",15,3,96.234309623431
"CC007xCC070","104","13421x16034_104","10_15x","Influenza",45,7,71.6738197424893
"CC007xCC070","105","13421x16034_105","10_15x","Influenza",45,4,90.8212560386473
"CC007xCC070","106","13421x16034_106","10_15x","Influenza",45,6,82.962962962963
"CC007xCC070","120","13421x16034_120","11_15xi","Influenza",45,5,75.8771929824561
"CC007xCC070","121","13421x16034_121","11_15xi","Influenza",45,4,94.8905109489051
"CC007xCC070","122","13421x16034_122","11_15xi","Influenza",45,8,70.8661417322835
"CC007xCC070","123","13421x16034_123","11_15xi","Influenza",45,5,76.2162162162162
"CC007xCC075","63","13421x3260_63","3_16iii","Influenza",10,7,86.8
"CC007xCC075","64","13421x3260_64","3_16iii","Influenza",10,5,80
"CC007xCC075","65","13421x3260_65","3_16iii","Influenza",10,10,74.3589743589744
"CC007xCC075","66","13421x3260_66","3_16iii","Influenza",10,9,79.7356828193833
"CC007xCC075","40","13421x3260_40","11_15xi","Influenza",45,4,96.6789667896679
"CC007xCC075","48","13421x3260_48","11_15xi","Influenza",45,4,86.8217054263566
"CC007xCC075","49","13421x3260_49","11_15xi","Influenza",45,5,80.6949806949807
"CC039xCC020","10","15155x8054_10","5_14v","Influenza",10,9,78.4103114930183
"CC039xCC020","16","15155x8054_16","5_14v","Influenza",10,7,100.248385494287
"CC039xCC020","17","15155x8054_17","5_14v","Influenza",10,3,93.8756855575868
"CC039xCC020","111","15155x8054_111","9_14ix","Influenza",15,4,96.3254593175853
"CC039xCC020","112","15155x8054_112","9_14ix","Influenza",15,3,91.304347826087
"CC039xCC020","113","15155x8054_113","9_14ix","Influenza",15,3,96.6824644549763
"CC039xCC020","114","15155x8054_114","9_14ix","Influenza",15,7,74.0512820512821
"CC039xCC020","115","15155x8054_115","9_14ix","Influenza",15,3,95.8024691358025
"CC039xCC020","75","15155x8054_75","8_14viii","Influenza",45,4,101.734104046243
"CC039xCC020","85","15155x8054_85","8_14viii","Influenza",45,1,101.932367149758
"CC039xCC020","95","15155x8054_95","8_14viii","Influenza",45,4,97.4860335195531
"CC002xCC021","195","15156x1566_195","3_13iii","Influenza",10,6,88.1987577639752
"CC002xCC021","199","15156x1566_199","3_13iii","Influenza",10,6,86.3849765258216
"CC002xCC021","200","15156x1566_200","3_13iii","Influenza",10,6,88.272921108742
"CC002xCC021","170","15156x1566_170","2_13ii","Influenza",15,7,86.6492146596859
"CC002xCC021","174","15156x1566_174","2_13ii","Influenza",15,6,85.9437751004016
"CC002xCC021","185","15156x1566_185","2_13ii","Influenza",15,3,89.1949152542373
"CC002xCC021","201","15156x1566_201","3_13iii","Influenza",15,6,86.6359447004608
"CC002xCC021","202","15156x1566_202","3_13iii","Influenza",15,3,88.4955752212389
"CC002xCC021","163","15156x1566_163","2_13ii","Influenza",45,7,97.6190476190476
"CC002xCC021","168","15156x1566_168","2_13ii","Influenza",45,7,84.7311827956989
"CC002xCC021","178","15156x1566_178","2_13ii","Influenza",45,3,91.0224438902743
"CC002xCC011","20","15156x3252_20","10_13x","Influenza",10,3,95.1541850220264
"CC002xCC011","34","15156x3252_34","10_13x","Influenza",10,2,94.4897959183673
"CC002xCC011","49","15156x3252_49","10_13x","Influenza",10,4,89.4052044609665
"CC002xCC011","11","15156x3252_11","10_13x","Influenza",15,10,88.9830508474576
"CC002xCC011","32","15156x3252_32","10_13x","Influenza",15,4,94.4933920704846
"CC002xCC011","56","15156x3252_56","10_13x","Influenza",15,7,92.094861660079
"CC002xCC011","6","15156x3252_6","10_13x","Influenza",45,10,94.4915254237288
"CC002xCC011","7","15156x3252_7","10_13x","Influenza",45,9,94.9473684210526
"CC002xCC011","13","15156x3252_13","10_13x","Influenza",45,10,95.9227467811159
"CC002xCC011","58","15156x3252_58","10_13x","Influenza",45,11,91.7061611374408
"CC002xCC011","59","15156x3252_59","10_13x","Influenza",45,11,91.3978494623656
"CC021xCC032","36","1566x8002_36","1_13i","Influenza",15,1,95.1612903225806
"CC021xCC032","37","1566x8002_37","1_13i","Influenza",15,7,92.9268292682927
"CC021xCC032","41","1566x8002_41","1_13i","Influenza",15,8,79.1773778920308
"CC021xCC023","32","1566x8043_32","6_14vi","Influenza",10,8,92.2196796338673
"CC021xCC023","39","1566x8043_39","6_14vi","Influenza",10,5,97.9220779220779
"CC021xCC023","40","1566x8043_40","6_14vi","Influenza",10,6,93.0131004366812
"CC021xCC023","78","1566x8043_78","7_14vii","Influenza",15,2,93.0826369545033
"CC021xCC023","79","1566x8043_79","7_14vii","Influenza",15,15,99.0990990990991
"CC021xCC023","80","1566x8043_80","7_14vii","Influenza",15,2,92.9636533084809
"CC021xCC023","24","1566x8043_24","6_14vi","Influenza",45,2,93.6470588235294
"CC021xCC023","25","1566x8043_25","6_14vi","Influenza",45,11,97.7667493796526
"CC021xCC023","26","1566x8043_26","6_14vi","Influenza",45,2,101.449275362319
"CC059xCC065","67","16012x5119_67","9_14ix","Influenza",10,4,88.6543535620053
"CC059xCC065","68","16012x5119_68","9_14ix","Influenza",10,3,91.131498470948
"CC059xCC065","76","16012x5119_76","9_14ix","Influenza",10,4,85.1153039832285
"CC059xCC065","77","16012x5119_77","9_14ix","Influenza",10,5,80.3765690376569
"CC059xCC065","56","16012x5119_56","9_14ix","Influenza",15,4,89.247311827957
"CC059xCC065","60","16012x5119_60","9_14ix","Influenza",15,4,84.3501326259947
"CC059xCC065","61","16012x5119_61","9_14ix","Influenza",15,4,89.4601542416452
"CC059xCC065","69","16012x5119_69","9_14ix","Influenza",45,5,81.3452914798206
"CC059xCC065","70","16012x5119_70","9_14ix","Influenza",45,4,87.7358490566038
"CC059xCC065","78","16012x5119_78","9_14ix","Influenza",45,4,83.6027713625866
"CC070xCC003","32","16034x13067_32","6_15vi","Influenza",10,4,95.2727272727273
"CC070xCC003","39","16034x13067_39","6_15vi","Influenza",10,10,89.2561983471075
"CC070xCC003","45","16034x13067_45","6_15vi","Influenza",10,7,84.469696969697
"CC070xCC003","33","16034x13067_33","6_15vi","Influenza",15,4,91.7602996254682
"CC070xCC003","40","16034x13067_40","6_15vi","Influenza",15,7,78.6821705426357
"CC070xCC003","46","16034x13067_46","6_15vi","Influenza",15,7,77.3381294964029
"CC070xCC003","82","16034x13067_82","7_15vii","Influenza",45,5,90.1234567901234
"CC070xCC003","83","16034x13067_83","7_15vii","Influenza",45,4,90.1709401709402
"CC070xCC003","84","16034x13067_84","7_15vii","Influenza",45,9,69.8473282442748
"CC037xCC057","117","16072x3393_117","9_14ix","Influenza",10,7,91.6008316008316
"CC037xCC057","121","16072x3393_121","9_14ix","Influenza",10,1,86.2403100775194
"CC037xCC057","148","16072x3393_148","9_14ix","Influenza",10,6,95.4545454545455
"CC037xCC057","118","16072x3393_118","9_14ix","Influenza",15,11,91.0755148741419
"CC037xCC057","119","16072x3393_119","9_14ix","Influenza",15,13,93.8369781312127
"CC037xCC057","120","16072x3393_120","9_14ix","Influenza",15,15,96.4796905222437
"CC037xCC057","142","16072x3393_142","9_14ix","Influenza",45,13,95.3125
"CC037xCC057","143","16072x3393_143","9_14ix","Influenza",45,4,94.6745562130178
"CC037xCC057","144","16072x3393_144","9_14ix","Influenza",45,5,97.3120728929385
"CC037xCC057","145","16072x3393_145","9_14ix","Influenza",45,10,92.9705215419501
"CC037xCC057","146","16072x3393_146","9_14ix","Influenza",45,5,95.0462962962963
"CC037xCC057","147","16072x3393_147","9_14ix","Influenza",45,3,94.9074074074074
"CC037xCC046","9","16072x5346_9","6_15vi","Influenza",10,7,96.9298245614035
"CC037xCC046","10","16072x5346_10","6_15vi","Influenza",10,7,95.631067961165
"CC037xCC046","23","16072x5346_23","6_15vi","Influenza",10,7,99.5073891625616
"CC037xCC046","24","16072x5346_24","6_15vi","Influenza",15,7,96.1165048543689
"CC037xCC046","29","16072x5346_29","6_15vi","Influenza",15,7,91.8181818181818
"CC037xCC046","36","16072x5346_36","6_15vi","Influenza",15,8,98.0392156862745
"CC004xCC011","198","16188x3252_198","6_13vi","Influenza",10,4,94.1373534338358
"CC004xCC011","199","16188x3252_199","6_13vi","Influenza",10,4,94.8
"CC004xCC011","217","16188x3252_217","6_13vi","Influenza",10,4,86.9565217391304
"CC004xCC011","218","16188x3252_218","6_13vi","Influenza",10,4,91.0284463894967
"CC004xCC011","81","16188x3252_81","1_13i","Influenza",15,10,94.1747572815534
"CC004xCC011","82","16188x3252_82","1_13i","Influenza",15,4,92.9577464788732
"CC004xCC011","85","16188x3252_85","1_13i","Influenza",15,6,78.8819875776398
"CC004xCC011","236","16188x3252_236","7_13vii","Influenza",15,4,89.5074088906688
"CC004xCC011","237","16188x3252_237","7_13vii","Influenza",15,4,90.0452488687783
"CC004xCC011","238","16188x3252_238","7_13vii","Influenza",15,4,86.9221651521138
"CC004xCC011","154","16188x3252_154","4_13iv","Influenza",45,2,93.2405566600398
"CC004xCC011","155","16188x3252_155","4_13iv","Influenza",45,4,87.2881355932203
"CC004xCC011","160","16188x3252_160","4_13iv","Influenza",45,4,85.1258581235698
"CC004xCC012","73","16188x8005_73","11_13xi","Influenza",10,6,71.8232044198895
"CC004xCC012","74","16188x8005_74","11_13xi","Influenza",10,3,79
"CC004xCC012","75","16188x8005_75","11_13xi","Influenza",10,9,66.9902912621359
"CC004xCC012","81","16188x8005_81","1_14i","Influenza",15,2,90.0084674005081
"CC004xCC012","82","16188x8005_82","1_14i","Influenza",15,9,87.9411764705882
"CC004xCC012","83","16188x8005_83","1_14i","Influenza",15,8,86.9639794168096
"CC004xCC012","77","16188x8005_77","12_13xii","Influenza",45,9,78.5553047404063
"CC004xCC012","107","16188x8005_107","12_13xii","Influenza",45,8,84.8214285714286
"CC004xCC012","108","16188x8005_108","12_13xii","Influenza",45,8,86.6004962779156
"CC005xCC001","50","16211X13140_50","6_13vi","Influenza",10,5,89.2420537897311
"CC005xCC001","51","16211X13140_51","6_13vi","Influenza",10,4,96.1352657004831
"CC005xCC001","52","16211X13140_52","6_13vi","Influenza",10,4,96.3503649635037
"CC005xCC001","54","16211x13140_54","9_13ix","Influenza",15,8,95.3846153846154
"CC005xCC001","64","16211x13140_64","9_13ix","Influenza",15,4,95.0961538461539
"CC005xCC001","65","16211x13140_65","9_13ix","Influenza",15,8,96.8325791855203
"CC005xCC001","120","16211x13140_120","11_13xi","Influenza",45,4,92.0479302832244
"CC005xCC001","121","16211x13140_121","11_13xi","Influenza",45,4,91.331096196868
"CC005xCC001","126","16211x13140_126","11_13xi","Influenza",45,5,88.0368098159509
"CC005xCC001","127","16211x13140_127","11_13xi","Influenza",45,1,95.4010695187166
"CC005xCC001","128","16211x13140_128","11_13xi","Influenza",45,4,93.8659793814433
"CC005xCC001","129","16211x13140_129","11_13xi","Influenza",45,4,91.7156862745098
"CC005xCC040","90","16211x16557_90","5_14v","Influenza",10,7,97.9629629629629
"CC005xCC040","94","16211x16557_94","5_14v","Influenza",10,4,92.491610738255
"CC005xCC040","97","16211x16557_97","5_14v","Influenza",10,4,93.4119960668633
"CC005xCC040","129","16211x16557_129","8_14viii","Influenza",15,8,90.3307888040712
"CC005xCC040","133","16211x16557_133","8_14viii","Influenza",15,10,94.5833333333333
"CC005xCC040","134","16211x16557_134","8_14viii","Influenza",15,4,96.1206896551724
"CC005xCC040","135","16211x16557_135","8_14viii","Influenza",15,5,90.4017857142857
"CC005xCC040","91","16211x16557_91","5_14v","Influenza",45,13,89.4886363636364
"CC005xCC040","95","16211x16557_95","5_14v","Influenza",45,10,89.5132743362832
"CC005xCC040","98","16211x16557_98","5_14v","Influenza",45,15,92.2897196261682
"CC005xCC038","56","16211x8049_56","3_16iii","Influenza",15,5,84.7953216374269
"CC005xCC038","60","16211x8049_60","3_16iii","Influenza",15,4,88.7417218543046
"CC005xCC038","61","16211x8049_61","3_16iii","Influenza",15,4,85.3801169590643
"CC005xCC038","65","16211x8049_65","4_16iv","Influenza",45,4,93.8931297709924
"CC005xCC038","68","16211x8049_68","4_16iv","Influenza",45,4,88.7755102040816
"CC005xCC038","69","16211x8049_69","4_16iv","Influenza",45,1,88.9502762430939
"CC005xCC020","16","16211x8054_16","2_16ii","Influenza",10,4,97.752808988764
"CC005xCC020","31","16211x8054_31","2_16ii","Influenza",10,4,91.304347826087
"CC005xCC020","38","16211x8054_38","2_16ii","Influenza",10,4,98.7878787878788
"CC049xCC036","34","16296x477_34","2_15ii","Influenza",45,5,89.5287958115183
"CC049xCC036","35","16296x477_35","2_15ii","Influenza",45,4,91.3265306122449
"CC049xCC036","36","16296x477_36","2_15ii","Influenza",45,4,92.3076923076923
"CC049xCC036","37","16296x477_37","2_15ii","Influenza",45,4,90.5263157894737
"CC049xCC036","42","16296x477_42","2_15ii","Influenza",45,8,91.9354838709677
"CC041xCC012","131","16441X8005_131","6_13vi","Influenza",10,10,70.4845814977974
"CC041xCC012","132","16441X8005_132","6_13vi","Influenza",10,8,77.0642201834862
"CC041xCC012","137","16441X8005_137","6_13vi","Influenza",10,8,73.6111111111111
"CC041xCC012","154","16441x8005_154","7_13vii","Influenza",15,8,79.4777828676134
"CC041xCC012","190","16441x8005_190","7_13vii","Influenza",15,8,81.107619795758
"CC041xCC012","191","16441x8005_191","7_13vii","Influenza",15,9,96.875
"CC041xCC012","75","16441X8005_75","5_13v","Influenza",45,7,91.5217391304348
"CC041xCC012","76","16441X8005_76","5_13v","Influenza",45,8,78.1038374717833
"CC041xCC012","80","16441X8005_80","5_13v","Influenza",45,8,76.0526315789474
"CC041xCC016","81","16441x8024_81","7_14vii","Influenza",10,8,89.4160583941606
"CC041xCC016","82","16441x8024_82","7_14vii","Influenza",10,1,97.5937325125909
"CC041xCC016","83","16441x8024_83","7_14vii","Influenza",10,8,86.6733466933868
"CC041xCC016","91","16441x8024_91","8_14viii","Influenza",15,9,82.3529411764706
"CC041xCC016","100","16441x8024_100","8_14viii","Influenza",15,7,80.3964757709251
"CC041xCC016","101","16441x8024_101","8_14viii","Influenza",15,8,85.2256532066508
"CC041xCC016","39","16441x8024_39","5_14v","Influenza",45,8,92.3913043478261
"CC041xCC016","40","16441x8024_40","5_14v","Influenza",45,8,86.8870523415978
"CC041xCC016","41","16441x8024_41","5_14v","Influenza",45,8,98.0022831050228
"CC041xCC016","42","16441x8024_42","5_14v","Influenza",45,8,94.5709281961471
"CC019xCC002","239","16513x15156_239","1_15i","Influenza",10,8,100
"CC019xCC002","240","16513x15156_240","1_15i","Influenza",10,7,95.8974358974359
"CC019xCC002","241","16513x15156_241","1_15i","Influenza",10,8,92.5
"CC019xCC002","302","16513x15156_302","4_15iv","Influenza",10,8,93.4343434343434
"CC019xCC002","304","16513x15156_304","4_15iv","Influenza",10,7,93.3333333333333
"CC019xCC002","312","16513x15156_312","4_15iv","Influenza",10,3,95.3367875647668
"CC019xCC002","70","16513x15156_70","10_13x","Influenza",15,8,87.8411910669975
"CC019xCC002","71","16513x15156_71","10_13x","Influenza",15,9,87.5722543352601
"CC019xCC002","72","16513x15156_72","10_13x","Influenza",15,9,89.9736147757256
"CC019xCC002","101","16513x15156_101","11_13xi","Influenza",45,7,88.3049242424242
"CC019xCC002","102","16513x15156_102","11_13xi","Influenza",45,1,90.6565656565656
"CC019xCC002","103","16513x15156_103","11_13xi","Influenza",45,3,76.5884652981427
"CC019xCC002","104","16513x15156_104","11_13xi","Influenza",45,8,87.3910814966684
"CC019xCC004","134","16513x16188_134","2_14ii","Influenza",10,8,99.7389033942559
"CC019xCC004","135","16513x16188_135","2_14ii","Influenza",10,9,78.5145888594164
"CC019xCC004","13","16513x16188_13","10_13x","Influenza",15,8,91.9770773638969
"CC019xCC004","14","16513x16188_14","10_13x","Influenza",15,12,77.9614325068871
"CC019xCC004","15","16513x16188_15","10_13x","Influenza",15,11,76.1764705882353
"CC019xCC004","136","16513x16188_136","4_14iv","Influenza",45,9,92.9133858267716
"CC019xCC004","137","16513x16188_137","4_14iv","Influenza",45,7,91.9376391982183
"CC019xCC004","142","16513x16188_142","4_14iv","Influenza",45,9,90.4059040590406
"CC019xCC004","143","16513x16188_143","4_14iv","Influenza",45,9,90.2439024390244
"CC019xCC027","33","16513x8027_33","1_16i","Influenza",10,5,97.5757575757576
"CC019xCC027","43","16513x8027_43","1_16i","Influenza",10,7,101.212121212121
"CC019xCC027","46","16513x8027_46","1_16i","Influenza",10,4,99.4117647058823
"CC019xCC027","52","16513x8027_52","1_16i","Influenza",10,5,100.602409638554
"CC019xCC027","4","16513x8027_4","1_16i","Influenza",15,1,99.4082840236686
"CC019xCC027","8","16513x8027_8","1_16i","Influenza",15,5,98.7878787878788
"CC019xCC027","15","16513x8027_15","1_16i","Influenza",15,7,100
"CC019xCC027","28","16513x8027_28","1_16i","Influenza",15,12,93.3333333333333
"CC019xCC027","39","16513x8027_39","1_16i","Influenza",15,12,95.1388888888889
"CC019xCC027","41","16513x8027_41","1_16i","Influenza",15,3,98.1927710843374
"CC019xCC027","42","16513x8027_42","1_16i","Influenza",15,12,88.3561643835616
"CC019xCC027","10","16513x8027_10","1_16i","Influenza",45,7,98.2456140350877
"CC019xCC027","19","16513x8027_19","1_16i","Influenza",45,5,98.2558139534884
"CC072xCC075","94","16521x3260_94","9_15ix","Influenza",15,7,92.1487603305785
"CC072xCC075","95","16521x3260_95","9_15ix","Influenza",15,8,85.5371900826446
"CC072xCC075","96","16521x3260_96","9_15ix","Influenza",15,7,94.8275862068966
"CC072xCC063","75","16521x5391_75","12_15xii","Influenza",10,4,97.5369458128079
"CC072xCC063","77","16521x5391_77","12_15xii","Influenza",10,3,93.7777777777778
"CC072xCC063","79","16521x5391_79","12_15xii","Influenza",10,4,91.9642857142857
"CC072xCC063","80","16521x5391_80","12_15xii","Influenza",10,4,88.2352941176471
"CC072xCC063","22","16521x5391_22","10_15x","Influenza",15,3,98.6666666666667
"CC072xCC063","23","16521x5391_23","10_15x","Influenza",15,1,95.049504950495
"CC072xCC063","24","16521x5391_24","10_15x","Influenza",15,2,98.4615384615385
"CC072xCC063","25","16521x5391_25","10_15x","Influenza",15,2,93.103448275862
"CC072xCC063","83","16521x5391_83","1_16i","Influenza",45,4,62.0817843866171
"CC072xCC063","84","16521x5391_84","1_16i","Influenza",45,4,96.6417910447761
"CC072xCC063","86","16521x5391_86","1_16i","Influenza",45,3,97.0338983050847
"CC040xCC003","129","16557x13067_129","5_14v","Influenza",10,10,69.4444444444445
"CC040xCC003","130","16557x13067_130","5_14v","Influenza",10,10,72.2113502935421
"CC040xCC003","131","16557x13067_131","5_14v","Influenza",10,8,97.2069092245498
"CC040xCC003","68","16557x13067_68","2_14ii","Influenza",15,7,93.6334405144695
"CC040xCC003","69","16557x13067_69","2_14ii","Influenza",15,1,96.9685767097967
"CC040xCC003","70","16557x13067_70","2_14ii","Influenza",15,10,75.3684210526316
"CC040xCC003","117","16557x13067_117","4_14iv","Influenza",45,9,77.3626373626374
"CC040xCC003","118","16557x13067_118","4_14iv","Influenza",45,10,83.5984095427435
"CC040xCC003","119","16557x13067_119","4_14iv","Influenza",45,8,85.2427184466019
"CC040xCC015","69","16557x3154_69","8_15viii","Influenza",10,10,75.6756756756757
"CC040xCC015","71","16557x3154_71","8_15viii","Influenza",10,9,70.9523809523809
"CC040xCC015","74","16557x3154_74","8_15viii","Influenza",10,10,69.0582959641256
"CC040xCC015","97","16557x3154_97","9_15ix","Influenza",15,8,70.8542713567839
"CC040xCC015","98","16557x3154_98","9_15ix","Influenza",15,6,78.5046728971963
"CC040xCC015","99","16557x3154_99","9_15ix","Influenza",15,8,73.7113402061856
"CC040xCC015","102","16557x3154_102","9_15ix","Influenza",15,8,74.235807860262
"CC040xCC015","112","16557x3154_112","9_15ix","Influenza",15,8,72.5225225225225
